Satz,recognized,natural,sex,age,emotion
09b10Ea,90,45,f,21,disgust
09b10Fb,55,15,f,21,happiness
09b10La,20,20,f,21,boredom
09b10Nd,95,80,f,21,neutral
09b10Ta,65,45,f,21,sadness
09b10Wa,100,90,f,21,anger
10b10Aa,95,50,m,32,fear
10b10Eb,65,40,m,32,disgust
10b10Fc,100,80,m,32,happiness
10b10Lc,85,85,m,32,boredom
10b10Nb,75,70,m,32,neutral
10b10Tc,55,40,m,32,sadness
10b10Wa,100,100,m,32,anger
11b10Ad,95,60,m,26,fear
11b10Ae,100,65,m,26,fear
11b10Eb,75,35,m,26,disgust
11b10Fa,75,50,m,26,happiness
11b10Ld,80,60,m,26,boredom
11b10Nc,80,75,m,26,neutral
11b10Td,95,80,m,26,sadness
11b10Wa,95,65,m,26,anger
11b10Wb,90,50,m,26,anger
12b10Ac,85,55,m,30,fear
12b10Ed,65,30,m,30,disgust
12b10Fd,70,25,m,30,happiness
12b10Ld,90,70,m,30,boredom
12b10Nc,70,35,m,30,neutral
12b10Td,60,35,m,30,sadness
12b10Wa,100,75,m,30,anger
13b10Aa,70,65,f,32,fear
13b10Ac,70,25,f,32,fear
13b10Ec,80,65,f,32,disgust
13b10Fa,80,70,f,32,happiness
13b10La,90,75,f,32,boredom
13b10Nc,100,100,f,32,neutral
13b10Ta,75,60,f,32,sadness
13b10Wa,100,85,f,32,anger
13b10Wc,95,85,f,32,anger
14b10Ad,85,60,f,35,fear
14b10Eb,85,70,f,35,disgust
14b10Fa,70,45,f,35,happiness
14b10Lb,95,85,f,35,boredom
14b10Nb,95,70,f,35,neutral
14b10Tc,90,80,f,35,sadness
14b10Wc,100,100,f,35,anger
15b10Ab,70,35,m,25,fear
15b10Ac,95,70,m,25,fear
15b10Eb,70,50,m,25,disgust
15b10Fb,50,30,m,25,happiness
15b10Lc,85,80,m,25,boredom
15b10Nb,100,80,m,25,neutral
15b10Nc,100,100,m,25,neutral
15b10Ta,90,45,m,25,sadness
15b10Wa,95,60,m,25,anger
16b10Aa,100,90,f,31,fear
16b10Eb,80,55,f,31,disgust
16b10Fb,85,70,f,31,happiness
16b10Lb,100,90,f,31,boredom
16b10Nb,70,65,f,31,neutral
16b10Tb,90,70,f,31,sadness
16b10Td,95,70,f,31,sadness
16b10Wa,100,100,f,31,anger
16b10Wb,100,75,f,31,anger
